Company,Specific Bean Origin,REF,Review,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
Ocho,"PNG, Devotion",1411,2014,66%,New Zealand,2.75, ,Papua New Guinea
Solstice,Amazonas,1157,2013,70%,U.S.A.,3.0, ,Venezuela
Xocolla,"Hispaniola, batch 170104",1948,2017,70%,U.S.A.,2.5, ,Dominican Republic
Scharffen Berger,Ben Tre,445,2009,72%,U.S.A.,3.75,Trinitario,Vietnam
Domori,Hacienda Victoria,1672,2015,70%,Italy,3.75, ,Ecuador
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5, ,Venezuela
Meadowlands,Venezuela,1287,2014,70%,U.S.A.,2.75, ,Venezuela
Pitch Dark,Johe,1506,2015,80%,U.S.A.,2.75, ,Nicaragua
Martin Mayer,Tumaco,1836,2016,74%,Austria,3.25, ,Colombia
Willie's Cacao,Los Llanos,1227,2014,88%,U.K.,3.0,Trinitario,Colombia
Tablette (aka Vanillabeans),Trinidad,1680,2015,77%,Japan,2.75,Trinitario,Trinidad
Marou,Ba Ria,845,2012,76%,Vietnam,3.5,Trinitario,Vietnam
Bonnat,Madagascar,75,2006,75%,France,4.0,Trinitario,Madagascar
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72%,U.K.,3.0, ,Panama
Mast Brothers,Patanemo,572,2010,81%,U.S.A.,2.75,Criollo,Venezuela
Tejas,Presidio,805,2012,70%,U.S.A.,3.5, ,Dominican Republic
Tocoti,Venezuela,789,2011,72%,U.S.A.,2.75, ,Venezuela
Lillie Belle,Wild Thing,947,2012,68%,U.S.A.,3.5,Criollo,Bolivia
La Maison du Chocolat (Valrhona),Akosombo,346,2009,68%,France,3.25,Forastero,Ghana
Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,70%,Sweden,3.0, ,Brazil
Chuao Chocolatier,Choroni,445,2009,61%,U.S.A.,3.0,Criollo,Venezuela
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
Palette de Bine,Lam Dong,1574,2015,72%,Canada,3.75,Trinitario,Vietnam
S.A.I.D.,Latino,615,2010,72%,Italy,3.5, , 
Rogue,Jamaica,213,2008,70%,U.S.A.,2.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25, ,Costa Rica
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,1061,2013,68%,Madagascar,3.25,Trinitario,Madagascar
A. Morin,Chuao,1015,2013,70%,France,4.0,Trinitario,Venezuela
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5, ,Domincan Republic
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar
Manoa,Coto Brus,1522,2015,72%,U.S.A.,3.75, ,Costa Rica
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4.0,Criollo (Porcelana),Venezuela
Mission,"Fazenda Camboa, Bahia",1880,2016,75%,Brazil,3.75, ,Brazil
La Oroquidea,Peruvian Amazon,721,2011,72%,Peru,2.5, ,Peru
Mesocacao,"La Tronca, Matagalpa",1351,2014,70%,Honduras,3.25, ,Nicaragua
L.A. Burdick (Felchlin),Quito,682,2011,74%,U.S.A.,3.75, ,Ecuador
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5,Forastero (Arriba),Ecuador
Terroir,Peru,1478,2015,70%,U.S.A.,2.75, ,Peru
Soma,Equator,1081,2013,67%,Canada,4.0, ,"Peru, Dom. Rep"
Terroir,Ecuador,1323,2014,77%,U.S.A.,3.25, ,Ecuador
Kto,Sambirano Valley,1422,2014,72%,U.S.A.,3.25,Trinitario,Madagascar
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji
Zotter,"Satipo Pangoa region, 16hr conche",875,2012,70%,Austria,3.0,Criollo (Amarru),Peru
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5, ,Brazil
Marou,Ben Tre,849,2012,78%,Vietnam,3.5,Trinitario,Vietnam
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25, ,Vietnam
Rancho San Jacinto,Ecuador,565,2010,75%,Eucador,3.0,"Forastero(Arriba, CCN)",Ecuador
Solomons Gold,Solomon Island,1792,2016,70%,New Zealand,3.25, ,Solomon Islands
Paul Young,"Madagascar, w/ shell",1271,2014,73%,U.K.,2.25,Trinitario,Madagascar
Pura Delizia,Venezuela,931,2012,73%,Italy,2.75, ,Venezuela
Starchild,Rio Tuma,1692,2015,70%,U.S.A.,3.0,Trinitario (Amelonado),Nicaragua
"Smooth Chocolator, The",Tien Giang,1864,2016,70%,Australia,3.0,Trinitario,Vietnam
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70%,U.S.A.,3.75, , 
Manoa,"Liberia, #174",1003,2012,72%,U.S.A.,3.25, ,Liberia
Millcreek Cacao Roasters,Ecuador,825,2012,70%,U.S.A.,3.5, ,Ecuador
Zokoko,Goddess Blend,1780,2016,65%,Australia,3.25, , 
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25,Blend, 
Domori,"IL100, H. San Jose",1109,2013,100%,Italy,3.0,Criollo,Venezuela
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3.25, ,Ecuador
Woodblock,Costa Rica,825,2012,70%,U.S.A.,3.0, ,Costa Rica
Wilkie's Organic,Tumbes,1169,2013,75%,Ireland,3.25,Criollo,Peru
Manufaktura Czekolady,Kolumbia,1279,2014,85%,Poland,3.5, ,Colombia
Tejas,Aranama,805,2012,70%,U.S.A.,3.0, ,Papua New Guinea
Kiskadee,"La Red, Guanconjeco",1251,2014,60%,U.S.A.,3.0,Trinitario,Dominican Republic
Willie's Cacao,Java,593,2010,69%,U.K.,3.75, ,Indonesia
Manufaktura Czekolady,Peru,1848,2016,70%,Poland,3.5, ,Peru
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru
Kaoka (Cemoi),Noir,404,2009,70%,France,2.75, , 
The Barn,Peru,1614,2015,70%,Sweden,3.0, ,Peru
Soma,Patanemo,1077,2013,70%,Canada,3.75,Criollo,Venezuela
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",971,2012,70%,U.S.A.,3.5,Forastero (Parazinho),Brazil
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,100%,U.K.,2.75, ,Peru
Davis,Rainforest,1093,2013,70%,U.S.A.,2.75, ,Dominican Republic
Minimal,"Acul-du-Nord, 2015",1920,2016,70%,Japan,3.5,"Criollo, Trinitario",Haiti
Szanto Tibor,"Winak, Sumaco",1704,2015,70%,Hungary,3.75,Forastero (Nacional),Ecuador
Ritual,Sambirano,891,2012,75%,U.S.A.,4.0,Trinitario,Madagascar
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize
Potomac,"Upala, Batch 18",654,2011,70%,U.S.A.,3.0,Matina,Costa Rica
Manoa,"Hamakua, Hawaiian Crown, #176",1007,2012,72%,U.S.A.,2.75, ,Hawaii
Soma,Hispaniola,377,2009,70%,Canada,3.0,Forastero,Dominican Republic
Q Chocolate,Brazil,1057,2013,85%,Brazil,3.5, ,Brazil
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,76%,Madagascar,2.75,Trinitario,Madagascar
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73%,U.S.A.,3.5, ,Ecuador
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5, ,Peru
Solstice,Bolivia,1161,2013,70%,U.S.A.,3.25, ,Bolivia
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica
Snake & Butterfly,Ecuador,502,2010,68%,U.S.A.,3.25, ,Ecuador
Roasting Masters,Maleku,1844,2016,70%,South Korea,3.25, ,Costa Rica
Nuance,"Sambirano Valley, 2012",1458,2015,70%,U.S.A.,3.5,Trinitario,Madagascar
Seaforth,Dominican Republic,1658,2015,70%,U.K.,2.75, ,Domincan Republic
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2.5, , 
A. Morin,Quilla,1704,2015,70%,France,3.5, ,Peru
Middlebury,Alto Beni,887,2012,75%,U.S.A.,2.0,Criollo,Bolivia
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
Holy Cacao,Gran Couva,1466,2015,70%,Israel,3.5,Trinitario,Trinidad
Lindt & Sprungli,Excellence (US Version),157,2007,85%,Switzerland,3.0, , 
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70%,U.S.A.,3.5,Trinitario,Belize
Dick Taylor,Ecuador,769,2011,70%,U.S.A.,3.25, ,Ecuador
Cravve,"Vanuatu, batch 2410",1335,2014,83%,Australia,2.75,Trinitario,Vanuatu
Danta,Las Acacias E.,987,2012,70%,Guatemala,4.0,Criollo,Guatemala
Guittard,Chucuri,15,2006,65%,U.S.A.,3.0,Trinitario,Colombia
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia
Ritual,"Maranon, Cajamarca",1181,2013,75%,U.S.A.,3.0,Forastero (Nacional),Peru
Wm,"Ghana, 2013, batch 129",1916,2016,75%,U.S.A.,3.75, ,Ghana
Woodblock,"Maranon, Cajamarca",1243,2014,70%,U.S.A.,3.0,Forastero (Nacional),Peru
Szanto Tibor,Cacao Blanco,1193,2013,70%,Hungary,3.25, ,Nicaragua
Robert (aka Chocolaterie Robert),Madagascar,1061,2013,75%,Madagascar,3.25,Trinitario,Madagascar
Maverick,Maya Mountain,1367,2014,70%,U.S.A.,3.25,Trinitario,Belize
Dandelion,Tanzania,654,2011,70%,U.S.A.,3.25, ,Tanzania
Zak's,"Dominican Republic, Batch D2",1578,2015,70%,U.S.A.,3.25, ,Domincan Republic
Original Beans (Felchlin),Papua Kerafat,1438,2014,68%,Switzerland,2.75, ,Papua New Guinea
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5, ,Peru
Hotel Chocolat (Coppeneur),Chuao,600,2010,70%,U.K.,2.75,Trinitario,Venezuela
Shattell,Porcelana,757,2011,75%,Peru,3.5,Criollo,Peru
Hoja Verde (Tulicorp),Manabi,414,2009,80%,Ecuador,2.5,Forastero (Arriba) ASS,Ecuador
Mesocacao,El Salvador,1494,2015,70%,Honduras,3.0, ,El Salvador
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5,Blend, 
L.A. Burdick (Felchlin),Brazil,891,2012,70%,U.S.A.,4.0, ,Brazil
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,82%,Domincan Republic,3.0, ,Dominican Republic
Desbarres,"Kilombero, batch 41",1916,2016,72%,Canada,2.5, ,Tanzania
Indaphoria,"Conacado, Manifesto",907,2012,70%,U.S.A.,2.75, ,Dominican Republic
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3.25,Criollo,Peru
Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Honduras
Soma,La Dalia,1307,2014,70%,Canada,3.25,Trinitario,Nicaragua
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,70%,Canada,3.75,Trinitario,Nicaragua
TCHO,TCHOPro 68,387,2009,68%,U.S.A.,3.0, , 
Middlebury,"Patanemo, Epoch, Donaldo",1490,2015,75%,U.S.A.,3.75, ,Venezuela
Soma,"Oko Caribe, Duarte P., Collab w Chocosol",1820,2016,62%,Canada,3.5, ,Domincan Republic
Willie's Cacao,San Martin,457,2009,70%,U.K.,3.0, ,Peru
Erithaj (A. Morin),Ham Luong,1209,2014,80%,France,3.0,Trinitario,Vietnam
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,64%,France,3.5,Trinitario,Madagascar
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75, ,Colombia
Zart Pralinen,"Kakao Kamili, Kilombero Valley",1824,2016,85%,Austria,3.0,"Criollo, Trinitario",Tanzania
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Indi,Honduras,1255,2014,77%,U.S.A.,3.0, ,Honduras
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,65%,U.K.,3.25,Trinitario,St. Lucia
Olivia,Carribean-Raw,688,2011,76%,Canada,2.0, ,Carribean
Tejas,"La Bahia, w/ cane juice",817,2012,70%,U.S.A.,3.25, ,Ecuador
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72%,U.K.,3.0,Trinitario,Madagascar
Green & Black's (ICAM),Dark,15,2006,70%,U.K.,2.5, , 
Scharffen Berger,Finisterra,227,2008,72%,U.S.A.,3.0,Blend,"Ven., Trinidad, Mad."
Mission,"Bahia, Fazenda Venturosa",1626,2015,70%,Brazil,3.5,Forastero (Parazinho),Brazil
Soma,"La Tronca, Matagalpa",1227,2014,70%,Canada,3.5, ,Nicaragua
Mesocacao,Honduras,1347,2014,70%,Honduras,3.5, ,Honduras
La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,74%,France,3.5,Blend,"Ven., Indonesia, Ecuad."
Pump Street Bakery,"Akessons Estate, Sambirano, Ambanja",1223,2014,72%,U.K.,3.25,Trinitario,Madagascar
Madre,Upala,693,2011,70%,U.S.A.,2.75, ,Costa Rica
Franceschi,Sur del Lago,915,2012,60%,Venezuela,3.5, ,Venezuela
Hotel Chocolat,"Pepiniere, single Cote",1654,2015,70%,U.K.,2.75, ,St. Lucia
TCHO,West Africa,1716,2016,62%,U.S.A.,2.0,Forastero,West Africa
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada
Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,248,2008,85%,Ecuador,2.75, ,Ecuador
Arete,Chuno,1598,2015,70%,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
Pralus,Chuao,486,2010,75%,France,3.5,Trinitario,Venezuela
Santander (Compania Nacional),Colombian Semi Dark,32,2006,53%,Colombia,2.0,Forastero (Nacional),Colombia
Amedei,Porcelana,111,2007,70%,Italy,4.0,Criollo (Porcelana),Venezuela
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25, ,Peru
Valrhona,"Andoa, Grand Cru blend",1145,2013,70%,France,3.5, , 
Willie's Cacao,Los Llanos,1848,2016,70%,U.K.,4.0, ,Colombia
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2.5,Criollo,Mexico
Pralus,Claudio Corallo w/ nibs,162,2007,75%,France,4.0,Forastero,Sao Tome
Noir d' Ebine,Ecuador,841,2012,70%,U.S.A.,3.0, ,Ecuador
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75, ,Tanzania
Nibble,Patanemo,1526,2015,72%,U.S.A.,2.25,Criollo,Venezuela
Spencer,"Madagascar, lot M0403R",1792,2016,70%,Australia,3.75, ,Madagascar
Na�ve,Chuao,1399,2014,75%,Lithuania,2.75,Trinitario,Venezuela
Guittard,Nicaragua,1053,2013,65%,U.S.A.,2.75, ,Nicaragua
Belcolade,Ecuador,586,2010,71%,Belgium,3.5, ,Ecuador
Scharffen Berger,Semisweet,56,2006,62%,U.S.A.,3.0,Blend, 
Olive and Sinclair,Dark 67,457,2009,67%,U.S.A.,2.75, ,"Ghana, Domin. Rep"
Ocelot,Virunga,1558,2015,70%,Scotland,3.75,Forastero,Congo
Zak's,"Belize, Batch 2",1578,2015,70%,U.S.A.,3.5,Trinitario,Belize
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88%,Argentina,2.75,Forastero (Nacional),Ecuador
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Wm,"Wild Beniano, 2016, batch 128, Heirloom",1912,2016,76%,U.S.A.,3.5, ,Bolivia
Mast Brothers,French Laundry 20th Anniversary,1359,2014,75%,U.S.A.,3.75,Blend,"Peru, Belize"
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25, ,Dominican Republic
Zart Pralinen,UNOCACE,1824,2016,70%,Austria,2.75,Nacional (Arriba),Ecuador
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,2.75, ,Peru
Goodnow Farms,"El Carmen, batch 1003",1924,2016,77%,U.S.A.,3.25, ,Nicaragua
Maverick,Elvesia,1367,2014,70%,U.S.A.,3.25, ,Dominican Republic
Letterpress,Liberia,1728,2016,70%,U.S.A.,3.25, ,Liberia
Raaka,La Red,785,2011,85%,U.S.A.,3.5, ,Dominican Republic
Szanto Tibor,"Ayacucho, ""El Guinacho""",939,2012,70%,Hungary,3.75, ,Peru
Duffy's,Dominican Republic,661,2011,65%,U.K.,3.5, ,Dominican Republic
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela
Soma,Peruvian,676,2011,64%,Canada,4.0, ,Peru
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5, ,Bolivia
Moho,"Toledo District, w/ nibs",1026,2013,73%,U.S.A.,3.25,Trinitario,Belize
Tejas,San Jose,829,2012,70%,U.S.A.,2.75, ,Bolivia
Levy,Sambirano,1231,2014,71%,Finland,3.5,Criollo,Madagascar
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3.0, ,Dominican Republic
Terroir,Madagascar,1478,2015,70%,U.S.A.,3.75,Trinitario,Madagascar
Marou,"Tan Phu Dong, Treasure Island",1149,2013,75%,Vietnam,3.5,Trinitario,Vietnam
Manufaktura Czekolady,Grand Cru Ecuador,875,2012,70%,Poland,3.25, ,Ecuador
Cacao Sampaka,Venezuela,537,2010,77%,Spain,3.5, ,Venezuela
Choklat,Ocumare,377,2009,70%,Canada,3.0,Criollo,Venezuela
Middlebury,Kokoa Kamili,1538,2015,75%,U.S.A.,3.25, ,Tanzania
Theo,"Venezuela; Barinos, Merida, Tachron",188,2007,91%,U.S.A.,2.0,Blend,Venezuela
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75%,Canada,3.25, ,Mexico
Domori,Granella,135,2007,60%,Italy,3.25,Trinitario,Venezuela
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Hotel Chocolat (Coppeneur),Tanzania,296,2008,75%,U.K.,2.75, ,Tanzania
Vivra,Dominican Republic,1724,2016,70%,U.S.A.,3.0, ,Domincan Republic
Cacao Barry,Venezuela,141,2007,72%,France,2.0, ,Venezuela
Hoja Verde (Tulicorp),Arriba,414,2009,72%,Ecuador,3.0,Forastero (Arriba) ASS,Ecuador
Rozsavolgyi,Principe,765,2011,77%,Hungary,2.75,Forastero,Principe
Rogue,"Caranero, Choc. Garage Exclusive",1446,2015,70%,U.S.A.,3.75, ,Venezuela
Hoja Verde (Tulicorp),Arriba,414,2009,80%,Ecuador,2.0,Forastero (Arriba) ASS,Ecuador
Violet Sky,Cuyagua,1458,2015,77%,U.S.A.,3.0,Criollo,Venezuela
Tablette (aka Vanillabeans),Papua,1450,2015,62%,Japan,3.25, ,Papua New Guinea
Holy Cacao,Hispaniola,431,2009,70%,Israel,2.75, ,Dominican Republic
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada
Szanto Tibor,Baracoa,1704,2015,88%,Hungary,3.25,Trinitario,Cuba
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero (Nacional),Peru
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75, ,Ecuador
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75, ,Hawaii
Middlebury,La Red,1117,2013,75%,U.S.A.,2.5, ,Dominican Republic
Q Chocolate,Brazil,1069,2013,55%,Brazil,2.75, ,Brazil
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica
Dick Taylor,Mantuano,682,2011,75%,U.S.A.,2.75,Criollo,Venezuela
Pacari,Los Rios,224,2008,72%,Ecuador,3.0,Forastero (Arriba),Ecuador
"Smooth Chocolator, The",Camino Verde,1622,2015,72%,Australia,4.0, ,Ecuador
Marigold's Finest,Cacao Nib Crunch,1808,2016,75%,Canada,3.25, , 
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica
Tocoti,"Wild Bolivian, Jungle Love",927,2012,77%,U.S.A.,3.0,Criollo,Bolivia
Zotter,"Satipo Pangoa region, 20hr conche",875,2012,70%,Austria,3.5,Criollo (Amarru),Peru
Timo A. Meyer,"Belize, med roast",1836,2016,72%,Germany,3.75,"Trinitario, TCGA",Belize
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela
Meadowlands,"Nicaragua, w/ inbs",1291,2014,70%,U.S.A.,3.0, ,Nicaragua
Spencer,Peru,1932,2017,70%,U.S.A.,2.75, ,Peru
Guittard,Lever du Soleil,654,2011,61%,U.S.A.,3.25, , 
Pierre Marcolini,"Baracoa, Cuba",516,2010,78%,Belgium,3.75,"Criollo, Forastero",Cuba
Sirene,"Somia Plantation, 2012",1339,2014,67%,Canada,3.75,Trinitario,Madagascar
Mindo,Ecuador,607,2010,67%,U.S.A.,2.75, ,Ecuador
twenty-four blackbirds,Madagascar,1235,2014,75%,U.S.A.,3.5,Trinitario,Madagascar
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5, ,Ecuador
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70%,U.S.A.,3.5, ,Ecuador
Q Chocolate,Brazil,935,2012,60%,Brazil,3.0, ,Brazil
Rogue,Piura,565,2010,75%,U.S.A.,3.75, ,Peru
Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,248,2008,85%,Ecuador,3.0, ,Ecuador
Domori,Blend No. 1,272,2008,78%,Italy,3.5,Blend, 
Michel Cluizel,Los Ancones P.,24,2006,67%,France,4.0, ,Dominican Republic
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25, ,Venezuela
Republica del Cacao (aka Confecta),El Oro,147,2007,67%,Ecuador,3.5,Forastero (Arriba),Ecuador
L.A. Burdick (Felchlin),Dominican Republic,576,2010,74%,U.S.A.,3.75, ,Dominican Republic
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25, ,Ecuador
Michel Cluizel,Maralumi P.,24,2006,64%,France,4.0, ,Papua New Guinea
Fossa,"Akesson's E., Sambirano V.",1772,2016,70%,Singapore,2.75, ,Madagascar
TCHO,Nutty-beta,284,2008,70%,U.S.A.,2.5, ,Peru
Domori,Ocumare 77,1672,2015,70%,Italy,3.75,Criollo (Ocumare 77),Venezuela
De Villiers,"Sambirano Valley, batch 2477",1832,2016,70%,South Africa,3.0, ,Madagascar
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Trinitario,Madagascar
